                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79373,                 1.2113,                0.98249,                0.99653,                0.99802,                  0.995,                0.81379,                0.71226,                0.82215,                0.87414,               0.000664,               0.000664,               0.000664
                      2,                0.72721,                0.61175,                 0.9452,                0.99951,                0.99901,                  0.995,                0.83742,                0.64192,                0.52462,                0.88634,             0.00089155,             0.00089155,             0.00089155
                      3,                0.66069,                0.44955,                 0.9342,                0.99993,                      1,                  0.995,                0.86082,                0.56019,                0.36613,                0.83625,             0.00067909,             0.00067909,             0.00067909
