                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6372,                 1.7741,                 1.2976,                0.93267,                   0.76,                0.81387,                0.53437,                 1.2074,                 0.9587,                 1.0507,                0.00012,                0.00012,                0.00012
                      2,                 1.3853,                 1.1635,                 1.1174,                0.90441,                0.85149,                0.89774,                 0.5865,                 1.1385,                 1.0196,                 1.0088,              0.0001742,              0.0001742,              0.0001742
                      3,                 1.3348,                  1.012,                 1.0897,                0.98544,                   0.88,                0.92546,                0.65746,                 1.0587,                0.72089,                0.97736,               0.000136,               0.000136,               0.000136
