                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.273,                0.89221,                 1.0478,                0.99012,                0.92366,                0.96219,                0.67268,                 1.1316,                0.61663,                0.97655,                0.00016,                0.00016,                0.00016
                      2,                 1.2412,                0.83613,                 1.0664,                      1,                0.91521,                0.96496,                0.68296,                  1.097,                0.60586,                0.95845,              0.0002278,              0.0002278,              0.0002278
                      3,                 1.2736,                0.83279,                 1.0507,                      1,                0.91494,                0.94634,                0.68083,                 1.0609,                0.61345,                0.95887,              0.0001768,              0.0001768,              0.0001768
